GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Wed Jun 20 07:14:09 GMT+03:00 2018,20-Jun-2018 07:14:11.064,23.1857091,61.24295014,1.52,13.936001,118.0,259.3,-8.58493042,0.35261536,4.58850098,-0.00413779,
Wed Jun 20 07:14:10 GMT+03:00 2018,20-Jun-2018 07:14:12.063,23.18577296,61.24293854,0.32,12.864,117.0,259.3,-8.64007568,0.289505,4.67146301,0.00191681,
Wed Jun 20 07:14:12 GMT+03:00 2018,20-Jun-2018 07:14:13.062,23.18583446,61.24285702,0.0,9.648001,125.0,0.0,-8.6235199,0.52088928,4.76748657,-0.00328718,
Wed Jun 20 07:14:13 GMT+03:00 2018,20-Jun-2018 07:14:14.064,23.18585067,61.24285455,0.0,8.576,126.0,0.0,-8.74890137,0.34587097,4.31079102,-0.00458925,
Wed Jun 20 07:14:14 GMT+03:00 2018,20-Jun-2018 07:14:15.063,23.18585113,61.24286637,0.0,4.288,126.0,0.0,-8.65093994,0.26817322,4.58181763,-0.00478836,
Wed Jun 20 07:14:15 GMT+03:00 2018,20-Jun-2018 07:14:16.064,23.185844,61.24287137,0.0,4.288,128.0,0.0,-7.96084595,-1.02738953,6.52758789,-0.00747488,
Wed Jun 20 07:14:16 GMT+03:00 2018,20-Jun-2018 07:14:17.063,23.18586587,61.24288846,0.0,3.216,127.0,0.0,-8.72288513,-0.47390747,5.08410645,-0.00891379,
Wed Jun 20 07:14:17 GMT+03:00 2018,20-Jun-2018 07:14:18.063,23.18587782,61.24288258,0.0,3.216,127.0,0.0,-8.91630554,-0.66238403,3.74891663,-0.01451028,
Wed Jun 20 07:14:18 GMT+03:00 2018,20-Jun-2018 07:14:19.063,23.18588309,61.24287897,0.0,3.216,127.0,0.0,-8.86051941,-1.5224762,4.09147644,-0.00686187,
Wed Jun 20 07:14:19 GMT+03:00 2018,20-Jun-2018 07:14:20.063,23.18588758,61.24288018,0.0,3.216,126.0,0.0,-8.83934021,-0.68614197,3.88067627,-0.01287538,
Wed Jun 20 07:14:20 GMT+03:00 2018,20-Jun-2018 07:14:21.063,23.18589271,61.24288511,0.0,3.216,125.0,0.0,-9.02238464,0.57180786,4.7800293,0.00644613,
Wed Jun 20 07:14:21 GMT+03:00 2018,20-Jun-2018 07:14:22.064,23.18589306,61.2428866,0.0,3.216,125.0,0.0,-8.93833923,-0.58026123,4.19784546,0.00402953,
Wed Jun 20 07:14:22 GMT+03:00 2018,20-Jun-2018 07:14:23.063,23.18589694,61.24288766,0.0,3.216,126.0,0.0,-8.91940308,-1.23745728,4.04167175,0.00095911,
Wed Jun 20 07:14:23 GMT+03:00 2018,20-Jun-2018 07:14:24.063,23.18589578,61.2428884,0.0,3.216,126.0,0.0,-8.50256348,-0.53691101,5.51158142,-0.01068567,
Wed Jun 20 07:14:24 GMT+03:00 2018,20-Jun-2018 07:14:25.063,23.18589579,61.2428884,0.0,3.216,126.0,0.0,-8.93728638,-0.32879639,3.84933472,0.00020662,
Wed Jun 20 07:14:25 GMT+03:00 2018,20-Jun-2018 07:14:26.063,23.18589476,61.24288815,0.0,4.288,126.0,0.0,-8.76254272,0.54750061,4.93818665,0.02739745,
Wed Jun 20 07:14:26 GMT+03:00 2018,20-Jun-2018 07:14:27.063,23.18589477,61.24288804,0.0,3.216,126.0,0.0,-8.54972839,-0.83143616,5.10993958,0.00080149,
Wed Jun 20 07:14:27 GMT+03:00 2018,20-Jun-2018 07:14:28.063,23.18589494,61.24288715,0.0,3.216,126.0,0.0,-6.47076416,0.68179321,5.45553589,-0.01787625,
Wed Jun 20 07:14:28 GMT+03:00 2018,20-Jun-2018 07:14:29.066,23.1858949,61.24288727,0.0,3.216,126.0,0.0,-7.92021179,-2.19639587,9.07653809,0.24878198,
Wed Jun 20 07:14:29 GMT+03:00 2018,20-Jun-2018 07:14:30.063,23.18589484,61.24288727,0.0,3.216,126.0,0.0,-9.25996399,0.18574524,5.76600647,0.06160389,
Wed Jun 20 07:14:30 GMT+03:00 2018,20-Jun-2018 07:14:31.063,23.18589485,61.24288727,0.0,3.216,126.0,0.0,-7.95895386,1.56788635,2.58595276,-0.02443253,
Wed Jun 20 07:14:31 GMT+03:00 2018,20-Jun-2018 07:14:32.063,23.1858949,61.24288755,0.0,3.216,126.0,0.0,-9.44216919,0.24031067,0.2550354,-0.036355,
Wed Jun 20 07:14:32 GMT+03:00 2018,20-Jun-2018 07:14:33.063,23.18589459,61.24288763,0.0,4.288,126.0,0.0,-10.82159424,-0.43803406,0.22790527,0.01459898,
Wed Jun 20 07:14:33 GMT+03:00 2018,20-Jun-2018 07:14:34.066,23.18589452,61.24288774,0.0,3.216,126.0,0.0,-9.20744324,-0.67929077,-1.6277771,0.00096026,
Wed Jun 20 07:14:34 GMT+03:00 2018,20-Jun-2018 07:14:35.063,23.18589464,61.24288761,0.0,3.216,126.0,0.0,-9.85839844,-0.2381897,-1.09416199,-0.00083988,
Wed Jun 20 07:14:35 GMT+03:00 2018,20-Jun-2018 07:14:36.063,23.18589467,61.24288765,0.0,3.216,126.0,0.0,-9.66674805,0.10731506,-0.68951416,-0.01146191,
Wed Jun 20 07:14:36 GMT+03:00 2018,20-Jun-2018 07:14:37.063,23.18589457,61.24288791,0.0,3.216,126.0,0.0,-9.74447632,-0.02104187,-0.57377625,0.00179586,
Wed Jun 20 07:14:37 GMT+03:00 2018,20-Jun-2018 07:14:38.064,23.18589461,61.2428878,0.0,3.216,126.0,0.0,-9.80947876,-0.24388123,-0.75691223,0.00173469,
Wed Jun 20 07:14:38 GMT+03:00 2018,20-Jun-2018 07:14:39.063,23.18589463,61.24288772,0.0,3.216,126.0,0.0,-9.72108459,-0.15374756,-0.57696533,-0.00084535,
Wed Jun 20 07:14:39 GMT+03:00 2018,20-Jun-2018 07:14:40.064,23.18589451,61.24288804,0.0,3.216,126.0,0.0,-9.81860352,-0.05064392,-0.6836853,0.00389045,
Wed Jun 20 07:14:40 GMT+03:00 2018,20-Jun-2018 07:14:41.064,23.1858944,61.24288812,0.0,3.216,126.0,0.0,-9.75219727,-0.10215759,-0.60641479,-0.00160695,
Wed Jun 20 07:14:41 GMT+03:00 2018,20-Jun-2018 07:14:42.063,23.18589411,61.24288804,0.0,3.216,126.0,0.0,-9.7853241,-0.06925964,-0.60186768,-0.00052055,
Wed Jun 20 07:14:42 GMT+03:00 2018,20-Jun-2018 07:14:43.063,23.18589403,61.24288795,0.0,3.216,126.0,0.0,-9.77561951,-0.09425354,-0.53411865,-0.00139711,
Wed Jun 20 07:14:43 GMT+03:00 2018,20-Jun-2018 07:14:44.063,23.18589374,61.24288829,0.0,3.216,126.0,0.0,-9.76826477,-0.11921692,-0.58483887,-0.00070633,
Wed Jun 20 07:14:44 GMT+03:00 2018,20-Jun-2018 07:14:45.063,23.18589359,61.24288815,0.0,3.216,125.0,0.0,-9.81469727,-0.15145874,-0.6282196,0.00016538,
Wed Jun 20 07:14:45 GMT+03:00 2018,20-Jun-2018 07:14:46.063,23.18589358,61.24288818,0.0,3.216,125.0,0.0,-9.72721863,-0.14427185,-0.62986755,0.00017866,
Wed Jun 20 07:14:46 GMT+03:00 2018,20-Jun-2018 07:14:47.063,23.18589358,61.24288834,0.0,3.216,125.0,0.0,-9.8009491,-0.06228638,-0.61160278,0.00007975,
Wed Jun 20 07:14:47 GMT+03:00 2018,20-Jun-2018 07:14:48.063,23.1858936,61.24288818,0.0,3.216,125.0,0.0,-9.77323914,-0.13925171,-0.59854126,-0.00120318,
Wed Jun 20 07:14:48 GMT+03:00 2018,20-Jun-2018 07:14:49.063,23.1858937,61.24288803,0.0,3.216,125.0,0.0,-9.77311707,-0.10231018,-0.60446167,-0.00016864,
Wed Jun 20 07:14:49 GMT+03:00 2018,20-Jun-2018 07:14:50.063,23.18589377,61.24288785,0.0,3.216,125.0,0.0,-9.78674316,-0.10166931,-0.60346985,-0.00130414,
Wed Jun 20 07:14:50 GMT+03:00 2018,20-Jun-2018 07:14:51.063,23.18589356,61.24288778,0.0,3.216,125.0,0.0,-9.7389679,-0.14341736,0.23512268,-0.00010281,
Wed Jun 20 07:14:51 GMT+03:00 2018,20-Jun-2018 07:14:52.063,23.1858863,61.24289378,0.86,3.216,125.0,288.5,-9.84088135,-0.3144989,-0.04272461,0.00424618,
Wed Jun 20 07:14:52 GMT+03:00 2018,20-Jun-2018 07:14:53.063,23.18587203,61.24289513,1.27,3.216,125.0,290.9,-9.42254639,-0.47033691,-0.45542908,0.01244176,
Wed Jun 20 07:14:53 GMT+03:00 2018,20-Jun-2018 07:14:54.063,23.18584735,61.24289561,1.44,3.216,125.0,290.9,-9.72271729,-1.02784729,-0.44760132,-0.00823864,
Wed Jun 20 07:14:54 GMT+03:00 2018,20-Jun-2018 07:14:55.063,23.18581674,61.24290182,1.93,3.216,125.0,290.2,-10.16914368,-0.78718567,-0.25924683,-0.00811693,
