GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
Sat Jul 07 11:02:46 GMT+03:00 2018,07-Jul-2018 11:02:47.286,23.18588445,61.24290079,0.0,5.36,124.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,-,-,-,-,-
Sat Jul 07 11:02:47 GMT+03:00 2018,07-Jul-2018 11:02:48.276,23.18586329,61.24290394,0.28,5.36,125.0,250.6,352.109375,0,89.82035828,80,22,-,-,-,-,-,-,-,-,-,-,0,-,-,125,-,-,-,-,-
Sat Jul 07 11:02:48 GMT+03:00 2018,07-Jul-2018 11:02:49.287,23.18584175,61.24291645,0.0,4.288,126.0,0.0,352.109375,0,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,-,-,26,0,-,-,126,-,-,-,-,-
Sat Jul 07 11:02:49 GMT+03:00 2018,07-Jul-2018 11:02:50.284,23.18583536,61.24291935,0.0,4.288,126.0,0.0,352.109375,0,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,0,0,-,126,-,-,-,-,-
Sat Jul 07 11:02:50 GMT+03:00 2018,07-Jul-2018 11:02:51.286,23.18585108,61.24292183,0.0,4.288,125.0,0.0,352.109375,0.84506255,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,125,-,-,-,-,-
Sat Jul 07 11:02:51 GMT+03:00 2018,07-Jul-2018 11:02:52.281,23.18585898,61.24291934,0.0,4.288,124.0,0.0,352.109375,0.84506255,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,124,-,-,-,-,-
Sat Jul 07 11:02:52 GMT+03:00 2018,07-Jul-2018 11:02:53.280,23.18586537,61.24291317,0.0,4.288,124.0,0.0,352.109375,0.84506255,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,124,-,-,-,-,-
Sat Jul 07 11:02:53 GMT+03:00 2018,07-Jul-2018 11:02:54.287,23.18587066,61.24291587,0.0,3.216,125.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,125,-,-,-,-,-
Sat Jul 07 11:02:54 GMT+03:00 2018,07-Jul-2018 11:02:55.282,23.18586809,61.24291755,0.0,3.216,127.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,127,-,-,-,-,-
Sat Jul 07 11:02:55 GMT+03:00 2018,07-Jul-2018 11:02:56.289,23.1858637,61.24292034,0.0,3.216,127.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,127,-,-,-,-,-
Sat Jul 07 11:02:56 GMT+03:00 2018,07-Jul-2018 11:02:57.283,23.18585861,61.24291459,0.0,3.216,128.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,128,-,-,-,-,-
Sat Jul 07 11:02:57 GMT+03:00 2018,07-Jul-2018 11:02:58.276,23.185854,61.24291448,0.0,3.216,128.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,128,-,-,-,-,-
Sat Jul 07 11:02:58 GMT+03:00 2018,07-Jul-2018 11:02:59.276,23.18584638,61.24291403,0.0,3.216,128.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,128,-,-,-,-,-
Sat Jul 07 11:02:59 GMT+03:00 2018,07-Jul-2018 11:03:00.277,23.18584549,61.24291438,0.0,3.216,128.0,0.0,352.109375,0.73942965,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,128,-,-,-,-,-
Sat Jul 07 11:03:00 GMT+03:00 2018,07-Jul-2018 11:03:01.282,23.18584466,61.24291472,0.0,3.216,128.0,0.0,352.109375,0.95069534,89.82035828,80,22,29,0,1.53377414,20,80,12330,30,0,0,26,∞,0,-,128,-,-,-,-,-
