GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
-,09-Oct-2018 19:37:24.834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:24 GMT+03:00 2018,09-Oct-2018 19:37:25.830,23.77178563,61.48755622,1.74,17.152,145.0,104.5,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:25 GMT+03:00 2018,09-Oct-2018 19:37:26.830,23.77139393,61.48758288,0.0,18.224,165.0,0.0,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,-,-,NaN,-,-,-,-,-,-,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:26 GMT+03:00 2018,09-Oct-2018 19:37:27.833,23.77148136,61.48755338,0.0,22.512001,144.0,0.0,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,-,NaN,20,-,-,-,144,-,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:27 GMT+03:00 2018,09-Oct-2018 19:37:28.831,23.77154815,61.48752337,0.0,21.44,134.0,0.0,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,134,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:28 GMT+03:00 2018,09-Oct-2018 19:37:29.833,23.77157886,61.48747804,0.0,18.224,118.0,0.0,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,118,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:29 GMT+03:00 2018,09-Oct-2018 19:37:30.846,23.77157536,61.48746168,0.0,18.224,115.0,0.0,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,115,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:30 GMT+03:00 2018,09-Oct-2018 19:37:31.852,23.77156281,61.48745598,1.22,18.224,118.0,242.3,352.09375,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,118,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:31 GMT+03:00 2018,09-Oct-2018 19:37:32.839,23.77156505,61.48748107,0.0,15.008,127.0,0.0,352.078125,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,127,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
Tue Oct 09 19:37:32 GMT+03:00 2018,09-Oct-2018 19:37:33.832,23.77155318,61.48745669,0.0,13.936001,123.0,0.0,352.078125,0,-3.59281445,18.8235302,20,21,0,7.88798141,13,18.8235302,12810,30,0,17,10.82823563,0,0,0,10,NaN,20,-,0,-,123,18,14.27056885,-,-,-,0,-,-,8970.71484375,0
