GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
Mon Oct 15 18:35:35 GMT+03:00 2018,15-Oct-2018 18:35:36.565,23.84018348,61.47655468,0.19,7.504,101.0,329.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,-,-,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:36 GMT+03:00 2018,15-Oct-2018 18:35:37.563,23.8401399,61.47653827,0.0,8.576,112.0,0.0,352.09375,0,-3.59281445,18.8235302,48,40,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,112,-,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:37 GMT+03:00 2018,15-Oct-2018 18:35:38.565,23.84012469,61.47653067,0.0,5.36,117.0,0.0,352.09375,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,-,-,-,-,-,-,15,0,48,-,-,-,117,-,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:38 GMT+03:00 2018,15-Oct-2018 18:35:39.567,23.84012488,61.4765259,0.0,5.36,117.0,0.0,352.09375,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,-,-,117,-,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:39 GMT+03:00 2018,15-Oct-2018 18:35:40.564,23.84012686,61.47652335,0.0,5.36,117.0,0.0,352.09375,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:40 GMT+03:00 2018,15-Oct-2018 18:35:41.566,23.84012385,61.47652303,0.0,5.36,119.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,119,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:41 GMT+03:00 2018,15-Oct-2018 18:35:42.565,23.84013768,61.4765164,0.0,3.216,119.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,119,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:42 GMT+03:00 2018,15-Oct-2018 18:35:43.565,23.84012998,61.47651407,0.0,3.216,117.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:43 GMT+03:00 2018,15-Oct-2018 18:35:44.571,23.84012379,61.4765165,0.0,3.216,113.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,113,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:44 GMT+03:00 2018,15-Oct-2018 18:35:45.572,23.84011945,61.47651346,0.21,3.216,114.0,203.7,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,114,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:45 GMT+03:00 2018,15-Oct-2018 18:35:46.569,23.84011869,61.47651549,0.0,3.216,118.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,118,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:46 GMT+03:00 2018,15-Oct-2018 18:35:47.569,23.84012416,61.47651301,0.0,3.216,118.0,0.0,352.046875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,118,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:47 GMT+03:00 2018,15-Oct-2018 18:35:48.567,23.84011854,61.47650485,0.0,3.216,117.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:48 GMT+03:00 2018,15-Oct-2018 18:35:49.566,23.84012055,61.47650182,0.0,3.216,117.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:49 GMT+03:00 2018,15-Oct-2018 18:35:50.566,23.84012694,61.47650396,0.0,3.216,118.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,118,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:50 GMT+03:00 2018,15-Oct-2018 18:35:51.567,23.84012704,61.47649585,0.0,3.216,117.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:51 GMT+03:00 2018,15-Oct-2018 18:35:52.563,23.84012491,61.47649481,0.0,3.216,117.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:52 GMT+03:00 2018,15-Oct-2018 18:35:53.563,23.84012489,61.47649482,0.0,3.216,117.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,117,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:53 GMT+03:00 2018,15-Oct-2018 18:35:54.565,23.84012944,61.47649227,0.0,3.216,116.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,116,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:54 GMT+03:00 2018,15-Oct-2018 18:35:55.573,23.84013035,61.47649222,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:55 GMT+03:00 2018,15-Oct-2018 18:35:56.567,23.84013632,61.47649328,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:56 GMT+03:00 2018,15-Oct-2018 18:35:57.570,23.84013454,61.47649362,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:57 GMT+03:00 2018,15-Oct-2018 18:35:58.569,23.84012994,61.47649401,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:58 GMT+03:00 2018,15-Oct-2018 18:35:59.566,23.84012745,61.47649427,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:35:59 GMT+03:00 2018,15-Oct-2018 18:36:00.565,23.84012637,61.47649417,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:00 GMT+03:00 2018,15-Oct-2018 18:36:01.568,23.84012629,61.47649424,0.0,3.216,115.0,0.0,352.078125,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:01 GMT+03:00 2018,15-Oct-2018 18:36:02.566,23.84012601,61.47649426,0.0,3.216,115.0,0.0,352.21875,0,-3.59281445,18.8235302,48,40,0,4.27265644,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:02 GMT+03:00 2018,15-Oct-2018 18:36:03.565,23.84012567,61.47649432,0.0,3.216,115.0,0.0,352.21875,0,-3.59281445,18.8235302,48,40,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:03 GMT+03:00 2018,15-Oct-2018 18:36:04.567,23.84012573,61.47649435,0.0,3.216,115.0,0.0,352.21875,0,-3.59281445,18.8235302,48,40,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,NaN,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:04 GMT+03:00 2018,15-Oct-2018 18:36:05.565,23.84012582,61.47649436,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,40,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:05 GMT+03:00 2018,15-Oct-2018 18:36:06.569,23.84012572,61.4764944,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:06 GMT+03:00 2018,15-Oct-2018 18:36:07.566,23.84012558,61.47649441,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:07 GMT+03:00 2018,15-Oct-2018 18:36:08.566,23.84012551,61.47649447,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:08 GMT+03:00 2018,15-Oct-2018 18:36:09.581,23.84012548,61.47649448,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:09 GMT+03:00 2018,15-Oct-2018 18:36:10.567,23.84012536,61.47649444,0.0,3.216,115.0,0.0,352.09375,1.05628121,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:10 GMT+03:00 2018,15-Oct-2018 18:36:11.568,23.84012548,61.47649453,0.0,3.216,115.0,0.0,346.578125,1.35165477,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
Mon Oct 15 18:36:11 GMT+03:00 2018,15-Oct-2018 18:36:12.564,23.84012542,61.47649452,0.0,3.216,115.0,0.0,346.578125,1.35165477,-3.59281445,18.8235302,48,42,0,4.38221169,16,18.8235302,170,30,0,25,10.82823563,0,0,0,15,∞,48,-,0,-,115,18,14.27056885,-,-,-,0,-,-,9478.44921875,0
