GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
-,30-May-2018 10:16:27.637,-,-,-,-,-,-,8.23956299,-0.08782959,4.91596985,-0.01648268,
-,30-May-2018 10:16:28.636,-,-,-,-,-,-,8.16500854,-0.12472534,5.41836548,-0.0004344,
-,30-May-2018 10:16:29.636,-,-,-,-,-,-,8.14053345,0.20806885,5.55310059,-0.01346509,
-,30-May-2018 10:16:30.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:31.637,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:32.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:33.637,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:34.637,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:35.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:36.637,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:37.637,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:38.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:39.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:40.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:41.635,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:42.638,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:43.635,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:44.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
-,30-May-2018 10:16:45.636,-,-,-,-,-,-,8.05363464,0.25558472,5.56202698,-0.01454625,
Wed May 30 10:16:46 GMT+03:00 2018,30-May-2018 10:16:46.636,23.18579623,61.24289541,0.19,12.864,156.0,233.9,8.05363464,0.25558472,5.56202698,-0.01454625,
Wed May 30 10:16:47 GMT+03:00 2018,30-May-2018 10:16:47.636,23.18581423,61.24287451,0.21,12.864,156.0,210.7,8.05363464,0.25558472,5.56202698,-0.01454625,
Wed May 30 10:16:48 GMT+03:00 2018,30-May-2018 10:16:48.636,23.18581425,61.24290076,0.0,11.792,151.0,0.0,8.05363464,0.25558472,5.56202698,-0.01454625,
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Wed May 30 10:16:49 GMT+03:00 2018,30-May-2018 10:16:49.726,23.18587255,61.24291061,0.0,10.72,141.0,0.0,8.05363464,0.25558472,5.56202698,-0.01454625,
Wed May 30 10:16:50 GMT+03:00 2018,30-May-2018 10:16:50.725,23.18588741,61.2429116,0.0,10.72,140.0,0.0,8.03727722,0.46833801,5.44819641,-0.01616827,
Wed May 30 10:16:51 GMT+03:00 2018,30-May-2018 10:16:51.726,23.18589146,61.24291484,0.0,10.72,140.0,0.0,8.18731689,0.4045105,5.4957428,0.00660032,
Wed May 30 10:16:52 GMT+03:00 2018,30-May-2018 10:16:52.725,23.18588585,61.24291425,0.0,9.648001,139.0,0.0,8.17935181,0.39700317,5.33082581,-0.00939375,
Wed May 30 10:16:53 GMT+03:00 2018,30-May-2018 10:16:53.725,23.18588563,61.24291644,0.0,9.648001,138.0,0.0,8.20126343,0.36990356,4.77828979,-0.03113323,
Wed May 30 10:16:54 GMT+03:00 2018,30-May-2018 10:16:54.726,23.1859128,61.24291861,0.0,9.648001,133.0,0.0,8.15171814,0.10061646,5.12709045,-0.0144048,
