GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
-,11-Jul-2018 16:04:29.916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:30.913,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:31.914,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,-,∞,-,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:32.915,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:33.914,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:34.929,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:35.914,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:36.923,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
-,11-Jul-2018 16:04:37.915,-,-,-,-,-,-,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
Wed Jul 11 16:04:38 GMT+03:00 2018,11-Jul-2018 16:04:38.914,23.75587031,61.49308662,0.26,41.808002,174.0,277.1,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
Wed Jul 11 16:04:39 GMT+03:00 2018,11-Jul-2018 16:04:39.914,23.75586598,61.49306122,0.47,36.448,162.0,331.0,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,-,-,-,-,-,-
Wed Jul 11 16:04:40 GMT+03:00 2018,11-Jul-2018 16:04:40.921,23.75574784,61.49302834,0.65,19.296001,147.0,282.5,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,147,-,-,-,-,-
Wed Jul 11 16:04:41 GMT+03:00 2018,11-Jul-2018 16:04:41.914,23.75526786,61.49307625,0.5,9.648001,169.0,317.4,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,169,-,-,-,-,-
Wed Jul 11 16:04:42 GMT+03:00 2018,11-Jul-2018 16:04:42.915,23.75540982,61.49307827,0.23,10.72,154.0,11.3,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,154,-,-,-,-,-
Wed Jul 11 16:04:43 GMT+03:00 2018,11-Jul-2018 16:04:43.917,23.7553194,61.4930902,0.0,8.576,157.0,0.0,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,157,-,-,-,-,-
Wed Jul 11 16:04:44 GMT+03:00 2018,11-Jul-2018 16:04:44.920,23.75540868,61.49309253,0.46,8.576,150.0,62.2,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,150,-,-,-,-,-
Wed Jul 11 16:04:45 GMT+03:00 2018,11-Jul-2018 16:04:45.917,23.75541646,61.49309348,0.41,10.72,150.0,55.3,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,150,-,-,-,-,-
Wed Jul 11 16:04:46 GMT+03:00 2018,11-Jul-2018 16:04:46.913,23.75549285,61.49308247,0.49,8.576,141.0,36.3,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,141,-,-,-,-,-
Wed Jul 11 16:04:47 GMT+03:00 2018,11-Jul-2018 16:04:47.914,23.75560371,61.49304981,1.0,7.504,135.0,92.2,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,135,-,-,-,-,-
Wed Jul 11 16:04:48 GMT+03:00 2018,11-Jul-2018 16:04:48.914,23.7556719,61.49303578,0.94,8.576,130.0,90.9,352.078125,0.6337406,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,130,-,-,-,-,-
Wed Jul 11 16:04:49 GMT+03:00 2018,11-Jul-2018 16:04:49.917,23.75568514,61.49302609,0.63,8.576,131.0,114.2,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,131,-,-,-,-,-
Wed Jul 11 16:04:50 GMT+03:00 2018,11-Jul-2018 16:04:50.917,23.75563721,61.49302393,0.0,10.72,124.0,0.0,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,124,-,-,-,-,-
Wed Jul 11 16:04:51 GMT+03:00 2018,11-Jul-2018 16:04:51.914,23.7556506,61.49301925,0.15,11.792,126.0,161.3,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,126,-,-,-,-,-
Wed Jul 11 16:04:52 GMT+03:00 2018,11-Jul-2018 16:04:52.914,23.75567103,61.49302379,0.42,11.792,124.0,356.1,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,124,-,-,-,-,-
Wed Jul 11 16:04:53 GMT+03:00 2018,11-Jul-2018 16:04:53.914,23.75570929,61.49301752,0.93,12.864,127.0,107.4,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,127,-,-,-,-,-
Wed Jul 11 16:04:54 GMT+03:00 2018,11-Jul-2018 16:04:54.914,23.75576208,61.4929995,1.39,12.864,127.0,129.9,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,127,-,-,-,-,-
Wed Jul 11 16:04:55 GMT+03:00 2018,11-Jul-2018 16:04:55.914,23.75582023,61.4929762,1.22,15.008,132.0,139.6,352.078125,0.73936403,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,132,-,-,-,-,-
Wed Jul 11 16:04:56 GMT+03:00 2018,11-Jul-2018 16:04:56.913,23.75587728,61.49295451,1.35,16.08,129.0,139.9,346.765625,1.04029691,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,0,0,21,∞,0,-,129,-,-,-,-,-
Wed Jul 11 16:04:57 GMT+03:00 2018,11-Jul-2018 16:04:57.914,23.75591756,61.49293725,0.83,16.08,144.0,139.6,346.765625,1.04029691,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,1,0,21,1040.296875,0,-,144,-,-,-,-,-
Wed Jul 11 16:04:58 GMT+03:00 2018,11-Jul-2018 16:04:58.913,23.7559725,61.49290758,1.1,15.008,141.0,146.0,346.765625,1.04029691,19.16167641,33.72549057,24,28,0,7.41324139,21,33.72549057,25120,30,1,0,21,1040.296875,0,-,141,0,0,100,-,-
Wed Jul 11 16:04:59 GMT+03:00 2018,11-Jul-2018 16:04:59.913,23.75599672,61.49288582,1.07,16.08,140.0,170.4,349.671875,1.25881875,19.16167641,33.72549057,24,28,0,7.37672329,21,33.72549057,25120,30,1,0,21,1258.81872559,0,-,140,0,0,100,-,-
Wed Jul 11 16:05:00 GMT+03:00 2018,11-Jul-2018 16:05:00.913,23.75602557,61.49286218,1.38,17.152,141.0,168.6,349.671875,1.25881875,19.16167641,33.72549057,24,28,0,7.37672329,21,33.72549057,25120,30,1,0,21,1258.81872559,0,-,141,0,0,100,3.41367006,-
Wed Jul 11 16:05:01 GMT+03:00 2018,11-Jul-2018 16:05:01.914,23.75605239,61.49284002,1.38,20.368,140.0,164.6,349.5,1.25819993,19.16167641,33.72549057,24,28,0,7.37672329,21,33.72549057,25120,30,1,0,21,1258.19995117,0,-,140,0,0,100,3.41367006,0.001445
