GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
-,13-Sep-2018 07:02:36.231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:35 GMT+03:00 2018,13-Sep-2018 07:02:37.227,23.1857142,61.24289946,0.78,26.800001,96.0,63.4,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:36 GMT+03:00 2018,13-Sep-2018 07:02:38.230,23.18589634,61.24289298,0.0,16.08,124.0,0.0,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,-,∞,-,-,-,-,-,-,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:37 GMT+03:00 2018,13-Sep-2018 07:02:39.238,23.18591091,61.24298018,0.0,16.08,125.0,0.0,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,-,-,125,-,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:38 GMT+03:00 2018,13-Sep-2018 07:02:40.229,23.1859021,61.24299936,1.1,13.936001,121.0,332.7,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,121,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:39 GMT+03:00 2018,13-Sep-2018 07:02:41.229,23.18594103,61.24295554,0.0,9.648001,117.0,0.0,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,117,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:40 GMT+03:00 2018,13-Sep-2018 07:02:42.229,23.18593113,61.24291923,0.43,8.576,118.0,33.6,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,118,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:41 GMT+03:00 2018,13-Sep-2018 07:02:43.228,23.18591002,61.24289043,0.23,6.432,119.0,265.7,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,119,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:42 GMT+03:00 2018,13-Sep-2018 07:02:44.230,23.18589223,61.2428788,0.0,5.36,118.0,0.0,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,118,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
Thu Sep 13 07:02:43 GMT+03:00 2018,13-Sep-2018 07:02:45.230,23.18589038,61.24287778,0.0,5.36,117.0,0.0,352.09375,0.5281406,96.40718842,84.31372833,12,16,0,7.88798141,13,84.31372833,12230,30,0,14,0.34980392,0,0,0,8,∞,12,-,0,-,117,84,7.7940383,-,-,-,0,-,-,6577.39550781,0
