GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
Sat Sep 29 21:47:32 GMT+03:00 2018,29-Sep-2018 21:47:33.550,23.34770851,61.47920024,5.91,13.936001,74.0,304.3,-,-,-,-,-,-,-,-,-,-,-,7.0,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8114.29492188,0
Sat Sep 29 21:47:33 GMT+03:00 2018,29-Sep-2018 21:47:34.543,23.34763792,61.47892289,0.0,15.008,49.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,-,7.0,-,-,-,-,-,-,7,0,-,-,-,-,-,-,7.75525665,-,-,-,-,-,-,8114.29492188,0
Sat Sep 29 21:47:34 GMT+03:00 2018,29-Sep-2018 21:47:35.544,23.34758328,61.47892007,0.0,13.936001,47.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,-,-,-,7,NaN,13,-,-,-,47,-,7.75525665,-,-,-,-,-,-,8114.29492188,0
Sat Sep 29 21:47:35 GMT+03:00 2018,29-Sep-2018 21:47:36.553,23.34801478,61.47900351,0.0,4.288,97.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,97,-,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:36 GMT+03:00 2018,29-Sep-2018 21:47:37.547,23.34807613,61.47900179,0.0,3.216,102.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,102,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:37 GMT+03:00 2018,29-Sep-2018 21:47:38.545,23.3480518,61.47901681,0.0,3.216,101.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,101,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:38 GMT+03:00 2018,29-Sep-2018 21:47:39.550,23.348045,61.47901805,0.0,3.216,101.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,101,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:39 GMT+03:00 2018,29-Sep-2018 21:47:40.545,23.34803843,61.47901352,0.0,3.216,101.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,101,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:40 GMT+03:00 2018,29-Sep-2018 21:47:41.545,23.34804599,61.47901657,0.0,3.216,101.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,101,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
Sat Sep 29 21:47:41 GMT+03:00 2018,29-Sep-2018 21:47:42.549,23.34804736,61.47901584,0.0,3.216,101.0,0.0,352.09375,0,97.00598907,84.70587921,13,12,0,6.68287277,14,84.70587921,9720,30,0,12,0.28705883,0,0,0,7,NaN,13,-,0,-,101,84,7.75525665,-,-,-,0,-,-,8114.29492188,0
