GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
-,19-Jul-2018 06:36:42.157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,19-Jul-2018 06:36:43.141,-,-,-,-,-,-,352.09375,0,98.20359039,85.49019623,20,23,0,3.83443522,21,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Trip average Litres/100 KM(l/100km),Trip Distance(km)
-,19-Jul-2018 06:36:44.199,-,-,-,-,-,-,352.09375,0,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,-,0,0,-,-,-,-,-,-,-
Thu Jul 19 06:36:44 GMT+03:00 2018,19-Jul-2018 06:36:45.201,23.18606261,61.24294843,0.0,20.368,102.0,0.0,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,14,∞,0,-,-,-,-,-,-,-
Thu Jul 19 06:36:45 GMT+03:00 2018,19-Jul-2018 06:36:46.198,23.18584206,61.24303248,0.64,17.152,98.0,93.1,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,14,∞,0,-,-,-,-,-,-,-
Thu Jul 19 06:36:46 GMT+03:00 2018,19-Jul-2018 06:36:47.198,23.18594272,61.24296607,0.38,13.936001,109.0,93.1,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,14,∞,0,-,109,-,-,-,-,-
Thu Jul 19 06:36:47 GMT+03:00 2018,19-Jul-2018 06:36:48.200,23.18609148,61.24280562,0.0,8.576,116.0,0.0,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,13,∞,0,-,116,-,-,-,-,-
Thu Jul 19 06:36:48 GMT+03:00 2018,19-Jul-2018 06:36:49.201,23.18602739,61.24277443,0.22,7.504,118.0,93.1,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,13,∞,0,-,118,-,-,-,-,-
Thu Jul 19 06:36:49 GMT+03:00 2018,19-Jul-2018 06:36:50.199,23.18591409,61.24279222,0.0,5.36,116.0,0.0,352.09375,0.42251253,98.20359039,85.49019623,20,23,0,3.83443522,21,85.49019623,12150,30,0,0,13,∞,0,-,116,-,-,-,-,-
