GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Wed Jun 20 18:06:11 GMT+03:00 2018,20-Jun-2018 18:06:11.846,23.75959186,61.3132399,0.0,4.288,112.0,0.0,-7.31045532,1.73442078,6.25978088,-0.00254697,
Wed Jun 20 18:06:12 GMT+03:00 2018,20-Jun-2018 18:06:12.846,23.75956978,61.31322956,0.0,3.216,110.0,0.0,-6.63874817,0.53010559,8.38270569,0.01518673,
Wed Jun 20 18:06:13 GMT+03:00 2018,20-Jun-2018 18:06:13.847,23.75958201,61.31323165,0.0,3.216,110.0,0.0,-7.19038391,0.76094055,6.59899902,-0.00154883,
Wed Jun 20 18:06:14 GMT+03:00 2018,20-Jun-2018 18:06:14.846,23.75958963,61.31322369,0.0,3.216,108.0,0.0,-6.49794006,-0.41404724,6.65440369,-0.0245196,
Wed Jun 20 18:06:15 GMT+03:00 2018,20-Jun-2018 18:06:15.847,23.75959694,61.31322408,0.0,3.216,107.0,0.0,-5.3565979,-0.05052185,6.41453552,-0.14752221,
Wed Jun 20 18:06:16 GMT+03:00 2018,20-Jun-2018 18:06:16.846,23.75960509,61.31322805,0.0,3.216,107.0,0.0,-5.22009277,-2.35275269,10.3518219,0.06957102,
Wed Jun 20 18:06:17 GMT+03:00 2018,20-Jun-2018 18:06:17.847,23.7596176,61.31323112,0.0,3.216,109.0,0.0,-7.84010315,4.88499451,5.056427,0.07405311,
Wed Jun 20 18:06:18 GMT+03:00 2018,20-Jun-2018 18:06:18.846,23.75961946,61.31323446,0.15,3.216,109.0,20.2,-10.9362793,-2.81219482,4.23847961,0.01319717,
Wed Jun 20 18:06:19 GMT+03:00 2018,20-Jun-2018 18:06:19.848,23.75961399,61.31324824,0.0,3.216,109.0,0.0,-9.33322144,1.90995789,0.12606812,-0.02822268,
Wed Jun 20 18:06:20 GMT+03:00 2018,20-Jun-2018 18:06:20.846,23.75960518,61.31325674,0.0,3.216,108.0,0.0,-9.84939575,0.45227051,-0.35704041,0.00453805,
Wed Jun 20 18:06:20 GMT+03:00 2018,20-Jun-2018 18:06:21.846,23.75960518,61.31325674,0.0,3.216,108.0,0.0,-10.11689758,0.22798157,-0.45669556,0.03317255,
