GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, !! HV Volts(V),!! Inst. kPower(kW),!! SOC (Usable)(%),!! SOC(Raw)(%),!Engine Coolant Temp(°C),!Engine Oil Temp(°C),!EV km this Cycle(km),!Fuel Remaining(Gallons),!HV Battery Temp(°C),!Hybrid Pack Remaining (SOC)(%),!Last Charge AC Wh(Wh),!Power Electronics Cooling Temp(°C),!Speed kmh(kmh),!Tran Temp(°C),* kWh Used (2011/2012)(kWh),*Bat Coolant Pump RPM(RPM),*Bat Coolant Valve(?),*Bat heat(W),Ambient air temp(°C),Driving efficiency(wh/km),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel used (trip)(l),GPS Altitude(m),Hybrid Battery Charge (%)(%),kw used(kwh),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Speed (OBD)(km/h),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s)
Fri Oct 05 16:29:05 GMT+03:00 2018,05-Oct-2018 16:29:06.283,23.75933305,61.31308061,0.0,6.432,103.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:06 GMT+03:00 2018,05-Oct-2018 16:29:07.282,23.7593435,61.31308352,0.28,3.216,104.0,258.2,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:07 GMT+03:00 2018,05-Oct-2018 16:29:08.282,23.7593703,61.31308282,0.0,4.288,98.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,-,-,-,-,-,-,10,0,76,-,-,-,98,-,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:08 GMT+03:00 2018,05-Oct-2018 16:29:09.284,23.75937583,61.31308156,0.0,3.216,98.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,-,-,98,-,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:09 GMT+03:00 2018,05-Oct-2018 16:29:10.282,23.75936954,61.31307937,0.0,3.216,98.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,98,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:10 GMT+03:00 2018,05-Oct-2018 16:29:11.283,23.75937303,61.31307791,0.0,3.216,98.0,0.0,352.0625,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,98,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:11 GMT+03:00 2018,05-Oct-2018 16:29:12.280,23.75936729,61.31307599,0.0,3.216,98.0,0.0,352.0625,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,98,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:12 GMT+03:00 2018,05-Oct-2018 16:29:13.280,23.7593472,61.31307259,0.42,3.216,99.0,259.4,352.0625,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,99,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:13 GMT+03:00 2018,05-Oct-2018 16:29:14.296,23.75932559,61.31305669,0.0,3.216,99.0,0.0,352.046875,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,99,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:14 GMT+03:00 2018,05-Oct-2018 16:29:15.280,23.75933023,61.31304901,0.0,3.216,99.0,0.0,352.046875,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,99,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:15 GMT+03:00 2018,05-Oct-2018 16:29:16.281,23.75932574,61.31304345,0.0,3.216,98.0,0.0,352.046875,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,98,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:16 GMT+03:00 2018,05-Oct-2018 16:29:17.280,23.75933288,61.31304314,0.0,3.216,98.0,0.0,352.046875,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,98,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:17 GMT+03:00 2018,05-Oct-2018 16:29:18.280,23.75933571,61.31304224,0.0,3.216,97.0,0.0,352.078125,0,-1.79640722,20,75,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,97,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:18 GMT+03:00 2018,05-Oct-2018 16:29:19.283,23.75932861,61.31304336,0.0,3.216,96.0,0.0,352.078125,0,-1.79640722,20,75,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,96,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:19 GMT+03:00 2018,05-Oct-2018 16:29:20.284,23.75932753,61.31304519,0.0,3.216,95.0,0.0,352.078125,0,-1.79640722,20,75,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:20 GMT+03:00 2018,05-Oct-2018 16:29:21.280,23.75932194,61.31304287,0.0,3.216,95.0,0.0,352.078125,0,-1.79640722,20,75,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:21 GMT+03:00 2018,05-Oct-2018 16:29:22.281,23.75932172,61.31304114,0.0,3.216,94.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,94,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:22 GMT+03:00 2018,05-Oct-2018 16:29:23.282,23.75932298,61.31304185,0.0,3.216,95.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,76,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:23 GMT+03:00 2018,05-Oct-2018 16:29:24.281,23.75932578,61.31304224,0.0,3.216,95.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:24 GMT+03:00 2018,05-Oct-2018 16:29:25.281,23.75932605,61.31304205,0.0,3.216,94.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,94,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:25 GMT+03:00 2018,05-Oct-2018 16:29:26.282,23.75932657,61.31304209,0.0,3.216,94.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,94,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:26 GMT+03:00 2018,05-Oct-2018 16:29:27.280,23.75932639,61.31304203,0.0,3.216,94.0,0.0,352.09375,0,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,NaN,75,-,0,-,94,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:27 GMT+03:00 2018,05-Oct-2018 16:29:28.281,23.75932662,61.31304184,0.0,3.216,94.0,0.0,352.09375,0.84502506,-1.79640722,20,76,65,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,∞,75,-,0,-,94,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:28 GMT+03:00 2018,05-Oct-2018 16:29:29.281,23.75932658,61.31304189,0.0,3.216,95.0,0.0,352.09375,0.84502506,-1.79640722,20,75,66,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,∞,75,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
Fri Oct 05 16:29:29 GMT+03:00 2018,05-Oct-2018 16:29:30.279,23.75932653,61.31304188,0.0,3.216,95.0,0.0,352.09375,0.84502506,-1.79640722,20,75,66,0,1.86243999,13,20,12460,30,0,43,10.64000034,0,0,0,10,∞,75,-,0,-,95,20,14.15422344,-,-,-,0,-,-,8740.04980469,0
